,Open,High,Low,Close,Profitable
411,162.99000549316406,163.5500030517578,162.50999450683594,163.41000366210938,0.0
412,139.57000732421875,140.4499969482422,139.52999877929688,140.02000427246094,0.0
413,314.44000244140625,315.17999267578125,313.79998779296875,313.8800048828125,0.0
414,110.11000061035156,110.4800033569336,108.31999969482422,108.69999694824219,0.0
415,192.52999877929688,194.5800018310547,191.83999633789062,193.64999389648438,0.0
416,119.0999984741211,119.87000274658203,119.01000213623047,119.33000183105469,0.0
417,135.89999389648438,136.63999938964844,134.6999969482422,136.3699951171875,0.0
418,117.45999908447266,117.98999786376953,117.05999755859375,117.13999938964844,0.0
419,124.12999725341797,124.41999816894531,123.5199966430664,123.66000366210938,0.0
420,348.510009765625,349.8999938964844,346.5299987792969,348.3299865722656,0.0
421,143.140625,144.0,142.5625,143.75,0.0
422,257.7699890136719,258.5,257.29998779296875,258.45001220703125,0.0
423,127.76000213623047,128.3800048828125,127.43000030517578,127.5,0.0
424,267.7300109863281,272.8900146484375,267.6099853515625,272.19000244140625,0.0
425,117.16999816894531,118.12000274658203,117.02999877929688,117.9800033569336,0.0
426,115.76000213623047,117.69000244140625,114.81999969482422,117.3499984741211,0.0
427,144.3699951171875,147.0399932861328,143.99000549316406,146.58999633789062,0.0
428,90.16000366210938,91.08999633789062,89.66999816894531,91.04000091552734,0.0
429,188.30999755859375,189.13999938964844,187.77999877929688,188.05999755859375,0.0
430,112.87000274658203,114.08000183105469,111.9000015258789,112.5999984741211,0.0
431,200.3300018310547,200.82000732421875,200.27999877929688,200.3300018310547,0.0
432,439.8500061035156,444.8900146484375,439.6000061035156,443.17999267578125,0.0
433,132.50999450683594,132.77000427246094,132.36000061035156,132.36000061035156,0.0
434,99.98999786376953,100.33999633789062,98.37000274658203,98.48999786376953,0.0
435,224.57000732421875,225.6999969482422,224.25999450683594,225.14999389648438,0.0
436,221.16000366210938,221.47999572753906,220.36000061035156,220.47999572753906,0.0
437,216.41000366210938,217.3000030517578,216.10000610351562,217.24000549316406,0.0
438,87.54000091552734,88.7699966430664,87.5,88.12000274658203,0.0
439,319.79998779296875,320.9800109863281,319.5199890136719,320.8999938964844,0.0
440,138.97000122070312,139.99000549316406,138.8000030517578,139.47000122070312,0.0
441,289.260009765625,289.92999267578125,288.4100036621094,289.260009765625,0.0
442,109.4800033569336,110.19999694824219,108.12000274658203,109.94000244140625,0.0
443,247.9199981689453,248.3300018310547,247.6699981689453,247.83999633789062,0.0
444,113.9000015258789,115.98999786376953,113.6500015258789,115.75,0.0
445,102.26000213623047,103.05000305175781,100.95999908447266,101.20999908447266,0.0
446,140.52999877929688,140.66000366210938,138.97000122070312,140.22000122070312,0.0
447,417.6300048828125,418.5400085449219,416.3399963378906,417.29998779296875,0.0
448,99.23999786376953,100.5,98.87999725341797,98.95999908447266,0.0
449,199.27000427246094,200.3300018310547,199.1199951171875,200.3000030517578,0.0
450,218.8000030517578,218.91000366210938,217.36000061035156,217.85000610351562,0.0
451,118.41000366210938,119.26000213623047,118.31999969482422,119.23999786376953,0.0
452,128.83999633789062,128.8800048828125,127.51000213623047,127.76000213623047,0.0
